epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
58,0.6933,0.689,"[ 1.74415516  3.99454881  0.52019537  1.87140334 -0.04040135  0.81963663
  0.93202489  1.57813226  1.85236878  2.6933572   2.76621318  4.23059072]",0.1266
59,0.6937,0.6928,"[ 1.74986276  3.98832862  0.51343525  1.85684438 -0.01836505  0.81405477
  0.9227406   1.58198223  1.87105028  2.74272094  2.74840116  4.22559744]",0.1302
60,0.6937,0.6832,"[ 1.76893965  3.94559626  0.53342347  1.81895436 -0.01012049  0.77708129
  0.88000873  1.56406079  1.86170544  2.79219369  2.76507271  4.23770922]",0.123
61,0.6935,0.6942,"[1.73354255 3.89752415 0.51900273 1.82553996 0.01340756 0.78152273
 0.86034692 1.58250405 1.87963274 2.8417643  2.7740719  4.22421757]",0.1457
62,0.6935,0.7064,"[1.68410631 3.84827173 0.52010391 1.82684702 0.03546758 0.7644591
 0.82543181 1.61149    1.8776671  2.89134067 2.81089774 4.24045354]",0.1685
63,0.6935,0.6918,"[1.63459361 3.79869742 0.52885293 1.83874284 0.04341889 0.72637798
 0.78794099 1.62107916 1.86011004 2.94079963 2.86002492 4.28121346]",0.2052
64,0.6942,0.7209,"[1.58508656 3.77464415 0.51478857 1.87613189 0.06064237 0.72828445
 0.78643843 1.64700563 1.86813775 2.99010358 2.86847959 4.2816969 ]",0.2563
65,0.6933,0.6871,"[1.59443246 3.74515163 0.53896443 1.85414822 0.05489233 0.70032786
 0.76279407 1.62493454 1.84624317 3.03738766 2.88066809 4.30903065]",0.287
66,0.6932,0.6714,"[1.64399539 3.78487628 0.53320931 1.81479371 0.08878666 0.71512609
 0.79250096 1.6154711  1.87590819 3.00065499 2.84095184 4.27724604]",0.2247
67,0.6932,0.7079,"[1.69358992 3.83446168 0.53516978 1.78504937 0.07784579 0.74514024
 0.82792011 1.60426236 1.90582259 2.95197363 2.79799799 4.22969829]",0.1869
68,0.6935,0.7093,"[1.74319608 3.88368749 0.54518604 1.76279477 0.06246873 0.74301547
 0.83037082 1.58663626 1.90378582 2.90265312 2.79344375 4.21624959]",0.1552
69,0.6934,0.7003,"[1.76889732 3.93160171 0.5550948  1.74925373 0.04582579 0.74618411
 0.85376252 1.57233515 1.91366426 2.85318518 2.77979197 4.20680946]",0.1342
70,0.6934,0.7201,"[1.7312934  3.89015611 0.51290996 1.79897663 0.04172357 0.79564989
 0.90344906 1.61812503 1.95893999 2.80386067 2.74881233 4.17173959]",0.1462
71,0.6928,0.7057,"[1.74933414 3.90633962 0.5288298  1.78709977 0.00662017 0.78252237
 0.89857988 1.60260242 1.94312618 2.75441984 2.7862026  4.18638358]",0.1263
72,0.6931,0.6772,"[ 1.77883469  3.91562327  0.57810198  1.75514582 -0.04196613  0.73333956
  0.8570582   1.56070782  1.89345502  2.70489032  2.83534926  4.23567262]",0.0971
73,0.6935,0.6902,"[ 1.72917033  3.86597916  0.55236591  1.80472935 -0.08527253  0.75908191
  0.88484508  1.59059479  1.91136799  2.65573811  2.88113453  4.24781421]",0.1009
74,0.6932,0.7112,"[ 1.67937319  3.81616598  0.50858208  1.85458719 -0.134856    0.8027218
  0.93020656  1.64043379  1.95520055  2.68070467  2.93082505  4.2970227 ]",0.1556
75,0.6936,0.6857,"[ 1.62951921  3.76666891  0.55847224  1.9020496  -0.1840426   0.7529135
  0.88035034  1.59060178  1.90529118  2.63594582  2.98061814  4.34684572]",0.1834
76,0.6929,0.6809,"[ 1.60991525  3.77386366  0.56638552  1.9510196  -0.17847171  0.74503738
  0.87242719  1.58660202  1.89738092  2.62959021  2.98433824  4.34620179]",0.1817
77,0.6928,0.7034,"[ 1.65940721  3.82361392  0.53812273  1.95080392 -0.12885348  0.77164171
  0.90708774  1.60129837  1.92730173  2.62718284  2.93457221  4.29642912]",0.1234
78,0.6932,0.6851,"[ 1.70914415  3.87342771  0.5699071   1.90107339 -0.07921117  0.73992798
  0.88930164  1.561527    1.89764637  2.5778217   2.88483831  4.25541685]",0.0885
79,0.6933,0.6909,"[ 1.75884969  3.92315552  0.57227577  1.85191137 -0.02969216  0.73389833
  0.91386743  1.55440085  1.91668083  2.52913739  2.83522889  4.21894265]",0.0829
80,0.6934,0.7066,"[1.78805523 3.97136818 0.56419221 1.84100183 0.0192314  0.73777255
 0.94806807 1.57247772 1.94130146 2.51147921 2.79995011 4.1863628 ]",0.0898
81,0.6933,0.7085,"[1.78216692 3.965215   0.55854773 1.84920845 0.06679366 0.73307353
 0.96830364 1.59390501 1.96279464 2.53911169 2.82682057 4.17212773]",0.0807
82,0.6931,0.6854,"[1.77582668 3.9485719  0.56259838 1.85222019 0.11522169 0.71095216
 0.96629392 1.60785853 1.9767443  2.58750947 2.84782549 4.17575875]",0.0693
83,0.693,0.685,"[1.77405361 3.91629296 0.60387974 1.83588724 0.16443065 0.66211138
 0.92308541 1.59792114 1.96205932 2.63632224 2.89353216 4.21701948]",0.0506
84,0.6933,0.6976,"[1.72457179 3.86680457 0.60346392 1.87323653 0.19930706 0.64899936
 0.897474   1.6198941  1.96584633 2.68587948 2.94207076 4.22893358]",0.0509
85,0.6936,0.6786,"[1.67485795 3.81712565 0.59218915 1.91902171 0.1616839  0.64310215
 0.84974762 1.6514387  1.96942191 2.73542968 2.99147016 4.23970028]",0.0775
86,0.6936,0.695,"[1.62512764 3.76741347 0.60318054 1.96872621 0.11251206 0.62719645
 0.81624657 1.66152661 1.95350075 2.78274274 3.04106165 4.26362644]",0.1326
87,0.6933,0.6979,"[1.59575529 3.74160668 0.61500345 1.99994324 0.10575647 0.61486683
 0.80633852 1.65963753 1.94148858 2.76326969 3.06282275 4.27749068]",0.158
88,0.693,0.6939,"[1.64536506 3.79115334 0.61898379 1.95114259 0.15521814 0.60027098
 0.85389409 1.64530167 1.96447459 2.71381039 3.01336728 4.25030863]",0.0791
89,0.6934,0.6915,"[1.69515576 3.84083698 0.62505271 1.90135294 0.20478063 0.59355348
 0.90347789 1.61422478 1.97476591 2.66416348 2.96389912 4.2372086 ]",0.046
90,0.6938,0.7142,"[1.74486116 3.89034923 0.62133858 1.86703182 0.23956521 0.60367398
 0.95296074 1.6161677  1.98674794 2.61463994 2.92880854 4.21963348]",0.0484
91,0.6932,0.6871,"[1.79424658 3.93985535 0.6238216  1.84489407 0.23744837 0.61773263
 1.00196694 1.62768152 1.99085725 2.56522045 2.96262633 4.19004132]",0.0554
92,0.6936,0.6931,"[1.81393086 3.98247739 0.60621469 1.88018575 0.19559958 0.66659277
 1.04985126 1.67729033 2.00643403 2.51629469 3.00490063 4.14070098]",0.0617
93,0.6936,0.7069,"[1.84467718 4.01856788 0.63575267 1.86607179 0.2174877  0.64857675
 1.05839994 1.66784098 1.97657829 2.46731969 2.98328014 4.14122262]",0.0809
94,0.693,0.668,"[1.87821951 4.05105797 0.66529665 1.83789661 0.25085707 0.61713575
 1.09911004 1.64959859 1.95765151 2.4377973  2.95181891 4.16096523]",0.1043
95,0.693,0.7017,"[1.829531   4.00822542 0.61591652 1.88761289 0.21544906 0.66031928
 1.14773955 1.69940712 2.00714796 2.48697863 2.96353378 4.11225663]",0.0744
96,0.6927,0.7143,"[1.81021084 4.01129274 0.56632557 1.90849232 0.22745447 0.68177417
 1.19648415 1.72923539 2.05687659 2.53656055 2.93456351 4.06365475]",0.06
97,0.6933,0.6852,"[1.86004143 4.06116267 0.51651744 1.85863946 0.27732541 0.71109447
 1.24626801 1.67956433 2.10673837 2.5856342  2.88471902 4.01409537]",0.065
98,0.6933,0.6837,"[1.85791514 4.06507754 0.46707461 1.86070001 0.27535204 0.76073596
 1.24647565 1.72699897 2.12872633 2.6353574  2.87966149 4.00826859]",0.0783
99,0.6932,0.7081,"[1.80994848 4.0170951  0.42225808 1.90259341 0.22756757 0.8068598
 1.19683215 1.77669547 2.08918556 2.68511707 2.92919083 4.05569277]",0.0701
100,0.6929,0.7084,"[1.83579004 4.04245329 0.46908529 1.86265424 0.25486759 0.76445264
 1.2108008  1.75715307 2.11682176 2.67110503 2.91494217 4.02785651]",0.0559
101,0.6928,0.6731,"[1.87326595 4.08628686 0.46075204 1.81278081 0.29873371 0.71557804
 1.21005455 1.70732297 2.14271672 2.70380242 2.88720129 3.98413619]",0.0668
102,0.6931,0.6921,"[1.82344125 4.03651206 0.51041732 1.81462899 0.24900707 0.66757891
 1.16020911 1.67013598 2.09291259 2.75357103 2.93700277 4.03370685]",0.021
103,0.6934,0.7009,"[1.77386554 3.99782967 0.5599349  1.80049807 0.22506547 0.65315205
 1.11042135 1.64449537 2.04323114 2.80332117 2.98663185 4.08286581]",0.0391
104,0.6935,0.6814,"[1.76437857 4.02173118 0.60958085 1.75070449 0.2614562  0.60355517
 1.06081849 1.59473485 1.99374698 2.85246886 3.02171972 4.11822681]",0.0711
105,0.6931,0.6916,"[1.71492472 3.97403629 0.60942918 1.7734841  0.22454263 0.60826723
 1.03556255 1.62220584 2.0344492  2.90211063 3.07069307 4.06915208]",0.0847
106,0.6932,0.7092,"[1.67837961 3.93482179 0.62286394 1.78735976 0.199755   0.59848243
 1.03676358 1.64496316 2.07221688 2.95161987 3.11976107 4.03615717]",0.0976
107,0.6933,0.6854,"[1.70893675 3.94614581 0.67242515 1.73757699 0.24880147 0.54885103
 0.9875205  1.59521968 2.02307636 3.00061796 3.16457687 4.08508648]",0.125
108,0.6937,0.69,"[1.66096228 3.89722886 0.66748727 1.7594886  0.21705246 0.56251104
 1.00741642 1.61707924 2.04891792 3.04983604 3.21396243 4.05923405]",0.1444
109,0.6931,0.7011,"[1.61328402 3.85357358 0.70458511 1.77711324 0.1878892  0.57411037
 1.01785251 1.63489164 2.06119341 3.07366429 3.26353036 4.04477266]",0.1663
110,0.693,0.7015,"[1.57849921 3.81444739 0.74458416 1.74520656 0.20408357 0.53805833
 0.98390333 1.60096912 2.02359617 3.02468282 3.31186606 4.08259713]",0.1809
111,0.6931,0.6848,"[1.60738344 3.83525887 0.73097197 1.76736937 0.18651708 0.5544422
 1.00174154 1.61867827 2.03735313 2.9754774  3.29660575 4.07022115]",0.1286
112,0.6929,0.6972,"[1.65618596 3.88446269 0.71726955 1.77937807 0.19335676 0.56611546
 1.01600689 1.62853757 2.04333555 2.92592572 3.24730655 4.06226606]",0.0798
113,0.6929,0.6908,"[1.7055193  3.93381164 0.72333083 1.76730184 0.23646328 0.55669518
 1.0125267  1.61473583 2.022308   2.87622254 3.19779206 4.08399433]",0.0629
114,0.693,0.6969,"[1.75476586 3.97104854 0.70119773 1.78933898 0.2326101  0.59384619
 1.05759156 1.63702953 2.02617574 2.82652942 3.15935676 4.07604555]",0.0439
115,0.6931,0.7129,"[1.80382864 4.00220692 0.69203746 1.80168939 0.23861994 0.61778972
 1.09463006 1.64843112 2.01021748 2.77681784 3.12427847 4.07234762]",0.0403
116,0.6929,0.7011,"[1.85328055 4.04169904 0.67959658 1.79215845 0.26841379 0.62938134
 1.13315671 1.64324228 1.98960637 2.72709132 3.07630348 4.06500483]",0.0394
117,0.6925,0.6867,"[1.90287499 4.09102218 0.63038948 1.80064463 0.29409077 0.6780545
 1.18279804 1.66726519 2.02716018 2.67743774 3.02684354 4.0161502 ]",0.0313
118,0.694,0.687,"[1.8802091  4.05945215 0.58076746 1.85048959 0.25233553 0.72768922
 1.23248331 1.71712754 2.07687836 2.66121201 3.0393854  3.97122564]",0.0306
119,0.6937,0.685,"[1.87582002 4.06170395 0.53112937 1.90019147 0.21710203 0.7773133
 1.28214804 1.7669208  2.12664543 2.70444417 3.02315892 3.94510388]",0.05
120,0.6939,0.6739,"[1.89522329 4.07983618 0.48942072 1.93166441 0.21361857 0.82672873
 1.32392639 1.8163839  2.16846315 2.71410437 2.98985043 3.91779068]",0.1093
121,0.6932,0.6862,"[1.88718071 4.06808212 0.48090842 1.95739738 0.20208227 0.82286816
 1.34136522 1.78277831 2.16545595 2.70911353 3.00160405 3.93321115]",0.0976
122,0.693,0.6748,"[1.90653251 4.08146198 0.48627402 1.92952419 0.22413478 0.77440894
 1.33721969 1.73299738 2.12326992 2.66011097 2.99785649 3.93259476]",0.083
123,0.6932,0.6864,"[1.92074128 4.08382197 0.52181822 1.88219953 0.25985442 0.72518683
 1.29953937 1.68314252 2.07354694 2.61065451 3.01382654 3.96344596]",0.0614
124,0.6929,0.6874,"[1.90589848 4.06756775 0.57146169 1.83254029 0.26397519 0.67568494
 1.24982908 1.63329844 2.02372756 2.5614728  3.03565942 4.01290779]",0.0509
125,0.6939,0.6787,"[1.87373444 4.03976615 0.62106599 1.81681589 0.25631481 0.62636783
 1.20019934 1.60880378 1.97403265 2.55472664 3.06128884 4.06230356]",0.0558
126,0.6929,0.6782,"[1.82457575 3.99074771 0.63581845 1.84542174 0.22985625 0.6166701
 1.17634801 1.63276841 1.98381749 2.60372268 3.10253406 4.06867865]",0.0452
127,0.693,0.7056,"[1.77793828 3.94820027 0.59850221 1.86766599 0.22059598 0.61006968
 1.17991423 1.63510494 2.02671089 2.65312457 3.11948094 4.07820482]",0.0324
128,0.6932,0.6789,"[1.79190788 3.96923744 0.60708273 1.83550028 0.256994   0.57054019
 1.13827034 1.58557753 2.00474736 2.69529466 3.08370052 4.12776629]",0.0384
129,0.6929,0.6791,"[1.74327307 3.91985293 0.55801523 1.85560512 0.27331186 0.55087742
 1.17670341 1.57706511 2.05419225 2.74483686 3.04334009 4.17710284]",0.0539
130,0.6932,0.6997,"[1.71986185 3.87025171 0.50844422 1.90532166 0.25105161 0.57588781
 1.22602892 1.59327531 2.1038996  2.78834829 3.04700024 4.19714273]",0.0819
131,0.6931,0.6918,"[1.75845297 3.89242581 0.53200406 1.88114166 0.26713097 0.55210822
 1.22999139 1.55394728 2.08817539 2.74057977 3.06442337 4.19437904]",0.0648
132,0.693,0.697,"[1.71001032 3.94044138 0.58121653 1.8314649  0.23136871 0.58713206
 1.18036641 1.54387795 2.03904862 2.77252434 3.11402819 4.14495581]",0.033
133,0.6932,0.7014,"[1.66760265 3.93216831 0.62944989 1.83110698 0.20297332 0.60082288
 1.13151855 1.54377136 2.00984847 2.80800725 3.16357924 4.12519028]",0.0312
134,0.6935,0.7085,"[1.6180085  3.88246681 0.67489249 1.86895147 0.15322024 0.62297219
 1.10283933 1.56717536 1.99577165 2.84504612 3.21333403 4.13278442]",0.0416
