epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
42,0.6933,0.6981,"[ 2.4850261   4.39140856 -0.13277657  2.03446253  1.05674748  0.29741028
  1.03486671  2.30647049  2.35748156  3.52063753  2.49880867  4.44068678
  1.16213823  5.38257182  0.03697723  4.34709053  2.4874234   3.37528609]",1.8774
43,0.6932,0.7085,"[ 2.48708242  4.39360743 -0.13050349  2.03228837  1.05461769  0.29221507
  1.03689938  2.30442173  2.35951551  3.51857446  2.50088029  4.43863502
  1.16427477  5.38475139  0.0390635   4.34473251  2.48963967  3.37737548]",1.8736
44,0.6929,0.6647,"[ 2.48712605  4.39376165 -0.13029039  2.03215572  1.05451719  0.29125323
  1.0369246   2.30438406  2.35954175  3.51852575  2.50093565  4.43859494
  1.16438091  5.38488816  0.03913003  4.34446036  2.48980593  3.37744443]",1.8728
45,0.6929,0.6679,"[ 2.4891573   4.3958693  -0.12813509  2.0300647   1.05244585  0.29305933
  1.03894258  2.30235719  2.36156039  3.51649117  2.50297497  4.43656651
  1.16645812  5.38698169  0.04117633  4.34227564  2.49191983  3.37949249]",1.8779
46,0.6936,0.6704,"[ 2.49116702  4.39789846 -0.12607894  2.0280425   1.05042421  0.29476873
  1.04094799  2.30034905  2.36356585  3.51448097  2.50498662  4.43455822
  1.16848456  5.3890032   0.04318845  4.3402352   2.49394598  3.38150519]",1.883
47,0.6933,0.7087,"[ 2.48723573  4.39412629 -0.12976232  2.03184714  1.05427196  0.29149744
  1.03698796  2.30428982  2.35960726  3.51840497  2.50107281  4.43849556
  1.1646511   5.38520679  0.03928923  4.34384316  2.49019224  3.37760999]",1.8741
48,0.6936,0.719,"[ 2.49318503  4.39996863 -0.12393958  2.02599124  1.04837812  0.29634785
  1.04295728  2.29833439  2.36557516  3.51246205  2.50700876  4.43254339
  1.17054295  5.39105463  0.0452114   4.33810635  2.49601353  3.3835296 ]",1.8884
49,0.6933,0.7153,"[ 2.49316702  4.39990472 -0.12401294  2.02604784  1.04841777  0.29583397
  1.04294659  2.29835008  2.36556398  3.51248246  2.50698567  4.43256026
  1.1705008   5.39099286  0.04518344  4.33823384  2.49593768  3.3835004 ]",1.8875
50,0.693,0.6738,"[ 2.49514396  4.40182354 -0.12210881  2.02411926  1.04646864  0.29723661
  1.04493296  2.29637013  2.36754973  3.5105085   2.50895619  4.4305818
  1.17244665  5.39291543  0.04714787  4.33639195  2.49784266  3.38546328]",1.8925
51,0.6934,0.676,"[ 2.4951333   4.40178369 -0.12214801  2.02415525  1.04649222  0.29685358
  1.04492656  2.2963795   2.36754296  3.51052082  2.50894228  4.43059203
  1.1724229   5.39287546  0.04713038  4.33647584  2.49779328  3.38544502]",1.8918
