epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
41,0.6755,0.9023,"[ 2.49424518  4.39996161 -0.12515494  2.02557144  1.04805359  0.45432139
  1.04431992  2.29720134  2.36697315  3.51146675  2.50790224  4.43134827
  1.17085719  5.39140348  0.04609596  4.33861582  2.49603182  3.3843679 ]",16.6174
42,0.6736,0.9212,"[ 2.49124562  4.39696268 -0.12815205  2.02856981  1.05105259  0.4513502
  1.04132019  2.30020093  2.3639734   3.51446626  2.5049028   4.43434793
  1.1678584   5.3884048   0.04309651  4.34161354  2.49303293  3.38136848]",16.5892
43,0.6785,0.8884,"[ 2.48824607  4.39396381 -0.13114907  2.03156804  1.05405155  0.44881494
  1.03832048  2.3032005   2.36097366  3.51746574  2.50190337  4.43734757
  1.16485961  5.38540622  0.04009709  4.34461109  2.49003411  3.3783691 ]",16.5623
44,0.6781,0.9071,"[ 2.48524651  4.39096495 -0.13414612  2.03456622  1.05705052  0.44986747
  1.03532076  2.30620009  2.35797392  3.52046524  2.49890394  4.44034721
  1.16186078  5.38240765  0.03709768  4.34760863  2.48703529  3.37536972]",16.5405
45,0.6778,0.8913,"[ 2.48224694  4.38796607 -0.13714321  2.03756431  1.0600495   0.45283577
  1.03232103  2.30919968  2.35497417  3.52346475  2.4959045   4.44334686
  1.1588619   5.37940911  0.03409827  4.35060614  2.48403647  3.37237034]",16.5221
46,0.6804,0.8641,"[ 2.47924743  4.38496739 -0.14013992  2.04056191  1.06304831  0.4558206
  1.02932135  2.31219922  2.35197445  3.52646417  2.49290514  4.44634645
  1.15586314  5.3764109   0.03109897  4.35360312  2.48103787  3.36937107]",16.5049
47,0.6777,0.902,"[ 2.47624791  4.3819687  -0.14313667  2.04355937  1.06604714  0.45880972
  1.02632165  2.31519876  2.34897473  3.5294636   2.48990578  4.44934606
  1.15286434  5.37341272  0.02809967  4.35660007  2.47803925  3.36637181]",16.4887
48,0.6784,0.8752,"[ 2.47324841  4.37897012 -0.14613322  2.04655639  1.06904587  0.46180099
  1.02332198  2.31819827  2.34597503  3.532463    2.48690646  4.45234563
  1.14986558  5.37041477  0.02510045  4.35959668  2.47504076  3.36337261]",16.4737
49,0.6809,0.8688,"[ 2.47024893  4.37597165 -0.14912958  2.04955288  1.07204451  0.46479356
  1.02032232  2.32119776  2.34297535  3.53546235  2.48390717  4.45534518
  1.14686685  5.36741706  0.02210129  4.36259293  2.47204239  3.36037348]",16.4598
50,0.6811,0.8527,"[ 2.4672495   4.37297333 -0.15212565  2.05254855  1.07504302  0.46778687
  1.01732269  2.3241972   2.33997569  3.53846165  2.48090796  4.4583447
  1.14386819  5.36441969  0.01910224  4.36558867  2.46904419  3.35737445]",16.447
51,0.6812,0.8724,"[ 2.46425002  4.36997492 -0.1551219   2.05554405  1.07804161  0.4707813
  1.01432304  2.32719668  2.33697601  3.54146099  2.47790869  4.46134424
  1.14086943  5.36142224  0.01610314  4.36858458  2.46604589  3.35437538]",16.4353
52,0.6835,0.8444,"[ 2.46125058  4.36697667 -0.15811786  2.05853824  1.08104006  0.47377607
  1.01132341  2.33019612  2.33397635  3.54446028  2.47490948  4.46434375
  1.13787072  5.35842519  0.01310416  4.37157989  2.46304778  3.35137641]",16.4246
53,0.6875,0.8085,"[ 2.45825113  4.36397847 -0.16111373  2.06153107  1.08403847  0.47677136
  1.00832379  2.33319555  2.3309767   3.54745956  2.47191029  4.46734325
  1.134872    5.35542835  0.01010522  4.37457494  2.46004972  3.34837749]",16.415
54,0.6833,0.8326,"[ 2.45525173  4.36098045 -0.1641093   2.06452124  1.08703672  0.47976682
  1.00532419  2.33619494  2.32797707  3.55045877  2.46891116  4.47034271
  1.13187334  5.35243198  0.00710641  4.37756929  2.45705185  3.34537868]",16.4063
55,0.6857,0.8059,"[ 2.45225236e+00  4.35798263e+00 -1.67104499e-01  2.06750597e+00
  1.09003480e+00  4.82762390e-01  1.00232462e+00  2.33919429e+00
  2.32497747e+00  3.55345792e+00  2.46591210e+00  4.47334213e+00
  1.12887475e+00  5.34943622e+00  4.10775828e-03  4.38056280e+00
  2.45405421e+00  3.34238001e+00]",16.3987
56,0.6865,0.8215,"[ 2.44925296e+00  4.35498476e+00 -1.70099798e-01  2.07048239e+00
  1.09303293e+00  4.85758456e-01  9.99325029e-01  2.34219366e+00
  2.32197785e+00  3.55645711e+00  2.46291301e+00  4.47634158e+00
  1.12587608e+00  5.34644053e+00  1.10909446e-03  4.38355629e+00
  2.45105650e+00  3.33938133e+00]",16.3921
57,0.6855,0.8009,"[ 2.44625370e+00  4.35198751e+00 -1.73094019e-01  2.07313582e+00
  1.09603052e+00  4.88754010e-01  9.96325545e-01  2.34519286e+00
  2.31897833e+00  3.55945607e+00  2.45991416e+00  4.47934087e+00
  1.12287770e+00  5.34344663e+00 -1.88912097e-03  4.38654721e+00
  2.44805950e+00  3.33638306e+00]",16.3875
58,0.6862,0.8211,"[ 2.44325438e+00  4.34899005e+00 -1.76088648e-01  2.07020572e+00
  1.09902827e+00  4.91750210e-01  9.93326012e-01  2.34819214e+00
  2.31597877e+00  3.56245513e+00  2.45691521e+00  4.48234023e+00
  1.11987915e+00  5.34045254e+00 -4.88744248e-03  4.38953862e+00
  2.44506224e+00  3.33338467e+00]",16.4037
59,0.6897,0.7618,"[ 2.44025522  4.34599334 -0.17908219  2.06723339  1.10202538  0.4947459
  0.9903266   2.35119123  2.31297932  3.56545392  2.45391654  4.48533942
  1.11688093  5.33746151 -0.0078852   4.39252637  2.44206582  3.33038679]",16.4212
60,0.6879,0.7862,"[ 2.43725604  4.34299666 -0.18207585  2.06425089  1.10502244  0.49774191
  0.98732719  2.35419033  2.30997986  3.56845272  2.45091788  4.48833862
  1.11388267  5.33447155 -0.01088289  4.39551344  2.4390694   3.32738894]",16.4399
61,0.6892,0.7702,"[ 2.43425686  4.34000001 -0.18506961  2.06126368  1.10801945  0.5007382
  0.98432776  2.35718943  2.3069804   3.57145152  2.44791921  4.49133782
  1.11088436  5.33148313 -0.01388051  4.39849961  2.43607301  3.32439112]",16.4597
62,0.6894,0.7858,"[ 2.43125762  4.33700325 -0.18806371  2.05827338  1.11101653  0.50373489
  0.98132831  2.36018858  2.3039809   3.57445038  2.44492048  4.49433707
  1.10788593  5.32849604 -0.01687815  4.40148556  2.43307646  3.32139325]",16.4808
63,0.6899,0.7624,"[ 2.4282585   4.33400707 -0.1910571   2.05528235  1.11401308  0.50673133
  0.97832894  2.3631876   2.30098148  3.57744905  2.44192196  4.4973362
  1.10488771  5.32551581 -0.01987527  4.40446708  2.43008053  3.3183958 ]",16.5029
64,0.6893,0.7822,"[ 2.42525949  4.33101156 -0.19404971  2.05229099  1.117009    0.50972749
  0.97532966  2.36618648  2.29798214  3.58044752  2.43892367  4.50033521
  1.10188971  5.32254799 -0.02287177  4.40744267  2.42708531  3.31539883]",16.5262
65,0.6905,0.7576,"[ 2.4222604   4.32801578 -0.19704291  2.04929793  1.12000511  0.51272414
  0.97233032  2.36918544  2.29498275  3.5834461   2.43592525  4.50333429
  1.09889151  5.31959444 -0.02586837  4.4104178   2.42408974  3.3124017 ]",16.5505
66,0.691,0.7633,"[ 2.41926135  4.32502036 -0.20003582  2.04630436  1.12300085  0.5157208
  0.96933102  2.37218435  2.29198338  3.58644459  2.43292694  4.50633333
  1.09589338  5.31674256 -0.02886453  4.41338674  2.42109451  3.30940485]",16.576
67,0.6908,0.748,"[ 2.41626247  4.32202599 -0.20302752  2.04331112  1.12599558  0.51871702
  0.96633185  2.37518305  2.28898414  3.58944277  2.42992898  4.50933217
  1.09289556  5.31954229 -0.03185956  4.41633958  2.41810034  3.30640878]",16.6103
68,0.6917,0.7314,"[ 2.41326393  4.31903361 -0.20601674  2.04031895  1.12898842  0.52171232
  0.96333294  2.37818133  2.28598513  3.59244033  2.42693168  4.51233064
  1.08989838  5.32247039 -0.03485237  4.41925064  2.41510814  3.30341416]",16.6454
69,0.6921,0.7424,"[ 2.41026527  4.31604086 -0.20900656  2.03732552  1.13198156  0.52470814
  0.96033395  2.38117974  2.28298605  3.59543805  2.4239342   4.51532922
  1.08690095  5.32542432 -0.03784516  4.42214241  2.41211536  3.30041929]",16.6811
70,0.6923,0.7232,"[ 2.40726695  4.3130503  -0.21199376  2.03433301  1.13497258  0.52770313
  0.95733522  2.38417774  2.2799872   3.59843513  2.42093742  4.51832742
  1.08390413  5.3283842  -0.04083499  4.42484326  2.40912459  3.29742603]",16.7188
71,0.6916,0.7421,"[ 2.40426967  4.31006614 -0.21497328  2.03134422  1.13795747  0.53069529
  0.9543373   2.38717448  2.27698907  3.60143029  2.41794272  4.52132446
  1.08090922  5.33133446 -0.04381633  4.42550582  2.4061399   3.29443753]",16.7727
72,0.6928,0.724,"[ 2.40127196  4.30708024 -0.21795526  2.02835303  1.14094391  0.53368886
  0.95133907  2.3901717   2.27399066  3.60442609  2.41494729  4.52432193
  1.0779135   5.3342979  -0.04679799  4.4229384   2.403153    3.29144778]",16.8525
73,0.6924,0.7341,"[ 2.39827449  4.30409647 -0.22093506  2.02536221  1.14392825  0.53668194
  0.94834103  2.39316861  2.27099242  3.60742137  2.4119524   4.5273191
  1.07491819  5.33726221 -0.0497746   4.42017254  2.40016765  3.28845964]",16.9341
74,0.693,0.7164,"[ 2.3952781   4.301121   -0.22390595  2.0223744   1.14690454  0.5396724
  0.94534386  2.39616417  2.26799494  3.61041444  2.40895985  4.530315
  1.07192482  5.3402182  -0.05273216  4.41737616  2.39718897  3.28547778]",17.0158
75,0.6928,0.7246,"[ 2.39228158  4.29814589 -0.22687705  2.01938566  1.14988037  0.54266336
  0.9423466   2.39915985  2.26499738  3.61340762  2.40596715  4.533311
  1.0689312   5.34317868 -0.0556817   4.41453666  2.39420982  3.28249623]",17.0979
76,0.693,0.708,"[ 2.39126003  4.29700424 -0.22802575  2.01832408  1.15101889  0.54371523
  0.94132931  2.40018675  2.26398198  3.61445021  2.40492202  4.53433626
  1.06789295  5.34434917 -0.05701527  4.41317887  2.39309152  3.28138354]",17.1315
77,0.6931,0.6944,"[ 2.38828108  4.29416095 -0.23085954  2.01538513  1.15386527  0.54666366
  0.93834616  2.4031603   2.26099693  3.61740752  2.40196721  4.53731142
  1.06493078  5.34716074 -0.05951855  4.41070419  2.39021634  3.27850451]",17.2081
78,0.6928,0.7122,"[ 2.38728697  4.29320648 -0.23181045  2.01440233  1.1548205   0.54764911
  0.93735088  2.40415288  2.26000111  3.61839548  2.40097994  4.53830446
  1.06394143  5.34810566 -0.06038201  4.40986938  2.38925187  3.27753914]",17.2339
79,0.6931,0.6926,"[ 2.3862634   4.29204313 -0.23297182  2.01334161  1.1559834   0.54870296
  0.93633164  2.40518276  2.2589841   3.61944397  2.39992923  4.53933284
  1.06290021  5.34926337 -0.06200817  4.40858435  2.3881252   3.27640443]",17.2673
